trial_id,num_conv_layers,start_filters,fc_units,dropout,lr,batch_size,final_accuracy,final_loss,epochs_completed,stopped_early,training_time
trial_14723dba,3,32,128,0.24391502756665964,0.008718271806216244,16,0.29155313351498635,1.5572894291916726,2,True,41.14368748664856
trial_175a32bc,2,32,256,0.41125523410904463,0.0022532690832017324,32,0.4114441416893733,1.400269067579784,10,False,131.78576040267944
trial_1d1e9da4,2,64,64,0.3356860325420073,0.0001134986800058559,16,0.25340599455040874,1.5782391713165782,2,True,60.83504343032837
trial_3231e225,3,32,128,0.486671426940405,0.0018155177100102132,16,0.36648501362397823,1.510382344027631,2,True,40.893306255340576
trial_4b446229,3,64,64,0.14975971015084633,0.0006413407496725552,32,0.42370572207084467,1.3720013150077426,6,True,76.59258890151978
trial_7bd548c4,2,16,64,0.42278960048438063,0.0002907552512890099,32,0.4019073569482289,1.390093502296739,6,True,33.84612536430359
trial_cb382de0,4,16,256,0.45877881131126264,0.006840168305672007,32,0.49318801089918257,1.1354513385965,6,True,56.83078956604004
trial_e44d1f7b,3,32,128,0.1496721563163,0.0004718595520407037,32,0.6852861035422343,0.936026310807028,10,False,124.27394247055054
trial_ec2e8386,3,64,256,0.23674152850236463,0.00024084138567810923,32,0.6403269754768393,0.9412254834045182,10,False,204.82106685638428
trial_fbbd7b6a,3,64,256,0.24037569986426904,0.003518505754225435,16,0.388283378746594,1.4285550198697914,10,False,289.7663764953613
